DEBUG 2025-08-15 00:29:06,927 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\urllib3\util\request.py first seen with mtime 1755163046.2683501
DEBUG 2025-08-15 00:29:06,927 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\types.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,927 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\core\sorting.py first seen with mtime 1755163074.1727717
DEBUG 2025-08-15 00:29:06,927 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\storage3\version.py first seen with mtime 1755158797.1809106
DEBUG 2025-08-15 00:29:06,927 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1754973633.1477046
DEBUG 2025-08-15 00:29:06,928 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\encodings\unicode_escape.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,928 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\grpc\_compression.py first seen with mtime 1755163062.294117
DEBUG 2025-08-15 00:29:06,928 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\generativeai\types\citation_types.py first seen with mtime 1755163106.7064502
DEBUG 2025-08-15 00:29:06,929 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\numpy\lib\_ufunclike_impl.py first seen with mtime 1755163051.567866
DEBUG 2025-08-15 00:29:06,929 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\packaging\__init__.py first seen with mtime 1755158792.3146987
DEBUG 2025-08-15 00:29:06,929 django.utils.autoreload 31012 5948 File C:\Users\user\AppData\Local\Programs\Python\Python310\Lib\uu.py first seen with mtime 1680626842.0
DEBUG 2025-08-15 00:29:06,930 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\http\__init__.py first seen with mtime 1754973633.4562361
DEBUG 2025-08-15 00:29:06,930 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pptx\oxml\text.py first seen with mtime 1755163069.7655518
DEBUG 2025-08-15 00:29:06,930 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\urllib3\http2\probe.py first seen with mtime 1755163046.2618668
DEBUG 2025-08-15 00:29:06,930 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1754973632.6666174
DEBUG 2025-08-15 00:29:06,931 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\db\models\sql\compiler.py first seen with mtime 1754973633.3036675
DEBUG 2025-08-15 00:29:06,931 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\uritemplate\__init__.py first seen with mtime 1755163047.0367339
DEBUG 2025-08-15 00:29:06,931 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\googleapiclient\version.py first seen with mtime 1755163100.538002
DEBUG 2025-08-15 00:29:06,931 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pptx\oxml\chart\marker.py first seen with mtime 1755163069.773083
DEBUG 2025-08-15 00:29:06,931 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_widths_helveticaboldoblique.py first seen with mtime 1755163066.4232116
DEBUG 2025-08-15 00:29:06,932 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\_libs\tslibs\dtypes.cp310-win_amd64.pyd first seen with mtime 1755163074.948679
DEBUG 2025-08-15 00:29:06,932 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\oauth2\__init__.py first seen with mtime 1755163098.530595
DEBUG 2025-08-15 00:29:06,932 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\supabase_functions\utils.py first seen with mtime 1755158796.7842104
DEBUG 2025-08-15 00:29:06,932 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\numpy\random\mtrand.cp310-win_amd64.pyd first seen with mtime 1755163051.7064402
DEBUG 2025-08-15 00:29:06,932 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\db\models\aggregates.py first seen with mtime 1754973633.2482471
DEBUG 2025-08-15 00:29:06,933 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\core\array_algos\quantile.py first seen with mtime 1755163074.2075498
DEBUG 2025-08-15 00:29:06,933 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pydantic_core\_pydantic_core.cp310-win_amd64.pyd first seen with mtime 1755158792.259394
DEBUG 2025-08-15 00:29:06,933 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\proto\primitives.py first seen with mtime 1755163073.7255435
DEBUG 2025-08-15 00:29:06,933 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\generativeai\types\__init__.py first seen with mtime 1755163106.7053964
DEBUG 2025-08-15 00:29:06,933 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\http\multipartparser.py first seen with mtime 1754973633.4582589
DEBUG 2025-08-15 00:29:06,934 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\contrib\postgres\forms\array.py first seen with mtime 1754973631.7781932
DEBUG 2025-08-15 00:29:06,934 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\core\algorithms.py first seen with mtime 1755163074.1475427
DEBUG 2025-08-15 00:29:06,934 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\template\loader.py first seen with mtime 1754973633.4967763
DEBUG 2025-08-15 00:29:06,934 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\sqlparse\filters\others.py first seen with mtime 1754973625.7287521
DEBUG 2025-08-15 00:29:06,935 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\tqdm\__init__.py first seen with mtime 1755163064.305432
DEBUG 2025-08-15 00:29:06,935 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\db\backends\postgresql\__init__.py first seen with mtime 1754973633.1932418
DEBUG 2025-08-15 00:29:06,935 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\io\_util.py first seen with mtime 1755163074.289397
DEBUG 2025-08-15 00:29:06,936 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\numpy\_core\fromnumeric.py first seen with mtime 1755163051.9305575
DEBUG 2025-08-15 00:29:06,936 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\certifi\core.py first seen with mtime 1755158793.1037552
DEBUG 2025-08-15 00:29:06,936 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\corsheaders\middleware.py first seen with mtime 1754973656.4992013
DEBUG 2025-08-15 00:29:06,936 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1754973633.3126762
DEBUG 2025-08-15 00:29:06,937 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\db\migrations\exceptions.py first seen with mtime 1754973633.2243402
DEBUG 2025-08-15 00:29:06,937 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\pandas\compat\_optional.py first seen with mtime 1755163074.1405256
DEBUG 2025-08-15 00:29:06,937 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\rest_framework\checks.py first seen with mtime 1755188091.0062127
DEBUG 2025-08-15 00:29:06,937 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\core\checks\security\csrf.py first seen with mtime 1754973633.0361786
DEBUG 2025-08-15 00:29:06,937 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\longrunning\operations_pb2.py first seen with mtime 1755163096.987955
DEBUG 2025-08-15 00:29:06,938 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\google\auth\_credentials_base.py first seen with mtime 1755163098.5043662
DEBUG 2025-08-15 00:29:06,938 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\rest_framework\authentication.py first seen with mtime 1755188091.0052128
DEBUG 2025-08-15 00:29:06,938 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\colorama\ansitowin32.py first seen with mtime 1755163063.5731754
DEBUG 2025-08-15 00:29:06,939 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1754973625.733661
DEBUG 2025-08-15 00:29:06,939 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\contrib\postgres\fields\citext.py first seen with mtime 1754973631.76918
DEBUG 2025-08-15 00:29:06,939 django.utils.autoreload 31012 5948 File D:\Github\Hokkien-Mee-is-Black-and-Best\backend\venv\Lib\site-packages\django\forms\forms.py first seen with mtime 1754973633.321688
